"Class","Library","Total Instances","Total Size","Total Dart Heap Size","Total External Size","New Space Instances","New Space Size","New Space Dart Heap Size","New Space External Size","Old Space Instances","Old Space Size","Old Space Dart Heap Size","Old Space External Size"
Color,package:vector_graphics_compiler/src/paint.dart,139,2224,2224,0,0,0,0,0,139,2224,2224,0
Pointer,package:cloud_firestore_platform_interface/src/internal/pointer.dart,132,2112,2112,0,132,2112,2112,0,0,0,0,0
RenderPictureVectorGraphic,package:vector_graphics/src/render_vector_graphic.dart,18,2016,2016,0,4,448,448,0,14,1568,1568,0
Matrix4,package:vector_math/vector_math_64.dart,125,2000,2000,0,96,1536,1536,0,29,464,464,0
SvgPicture,package:flutter_svg/svg.dart,18,1440,1440,0,4,320,320,0,14,1120,1120,0
VectorGraphic,package:vector_graphics/src/vector_graphics.dart,16,1280,1280,0,2,160,160,0,14,1120,1120,0
PigeonQueryParameters,package:cloud_firestore_platform_interface/src/pigeon/messages.pigeon.dart,24,1152,1152,0,24,1152,1152,0,0,0,0,0
Vector2,package:vector_math/vector_math_64.dart,62,992,992,0,58,928,928,0,4,64,64,0
MethodChannelCollectionReference,package:cloud_firestore_platform_interface/src/method_channel/method_channel_collection_reference.dart,30,960,960,0,30,960,960,0,0,0,0,0
PdfTokenType,package:syncfusion_flutter_pdf/src/pdf/implementation/io/enums.dart,28,896,896,0,0,0,0,0,28,896,896,0
_AssetByteLoaderCacheKey,package:flutter_svg/src/loaders.dart,27,864,864,0,4,128,128,0,23,736,736,0
SvgCacheKey,package:flutter_svg/src/loaders.dart,27,864,864,0,4,128,128,0,23,736,736,0
_VectorGraphicWidgetState,package:vector_graphics/src/vector_graphics.dart,16,768,768,0,2,96,96,0,14,672,672,0
MethodChannelQuery,package:cloud_firestore_platform_interface/src/method_channel/method_channel_query.dart,24,768,768,0,24,768,768,0,0,0,0,0
PigeonQuerySnapshot,package:cloud_firestore_platform_interface/src/pigeon/messages.pigeon.dart,24,768,768,0,24,768,768,0,0,0,0,0
PropertyRule,package:firstfloor_calendar/src/semantic/calendar_parser.dart,23,736,736,0,0,0,0,0,23,736,736,0
InflaterState,package:syncfusion_flutter_pdf/src/pdf/implementation/compression/enums.dart,23,736,736,0,0,0,0,0,23,736,736,0
FieldType,package:exif/src/field_types.dart,14,672,672,0,0,0,0,0,14,672,672,0
SvgPathSegType,package:path_parsing/src/path_segment_type.dart,20,640,640,0,0,0,0,0,20,640,640,0
Frame,package:hive/src/binary/frame.dart,12,576,576,0,6,288,288,0,6,288,288,0
SvgAssetLoader,package:flutter_svg/src/loaders.dart,18,576,576,0,4,128,128,0,14,448,448,0
_PngChunkTypes,package:syncfusion_flutter_pdf/src/pdf/implementation/graphics/images/decoders/png_decoder.dart,18,576,576,0,0,0,0,0,18,576,576,0
Permission,package:permission_handler_platform_interface/permission_handler_platform_interface.dart,35,560,560,0,0,0,0,0,35,560,560,0
_RawPictureVectorGraphicWidget,package:vector_graphics/src/vector_graphics.dart,16,512,512,0,2,64,64,0,14,448,448,0
BlendMode,package:vector_graphics_compiler/src/paint.dart,16,512,512,0,0,0,0,0,16,512,512,0
PigeonSnapshotMetadata,package:cloud_firestore_platform_interface/src/pigeon/messages.pigeon.dart,30,480,480,0,30,480,480,0,0,0,0,0
_JsonCollectionReference,package:cloud_firestore/cloud_firestore.dart,30,480,480,0,30,480,480,0,0,0,0,0
_PictureKey,package:vector_graphics/src/vector_graphics.dart,12,384,384,0,2,64,64,0,10,320,320,0
_PictureData,package:vector_graphics/src/vector_graphics.dart,12,384,384,0,2,64,64,0,10,320,320,0
CloudSyncSummary,package:spendant/src/services/cloud_sync_service.dart,6,384,384,0,6,384,384,0,0,0,0,0
_Node,package:hive/src/util/indexable_skip_list.dart,12,384,384,0,0,0,0,0,12,384,384,0
StorageBackendVm,package:hive/src/backend/vm/storage_backend_vm.dart,6,384,384,0,0,0,0,0,6,384,384,0
MethodChannelQuerySnapshot,package:cloud_firestore_platform_interface/src/method_channel/method_channel_query_snapshot.dart,24,384,384,0,24,384,384,0,0,0,0,0
PigeonGetOptions,package:cloud_firestore_platform_interface/src/pigeon/messages.pigeon.dart,24,384,384,0,24,384,384,0,0,0,0,0
FieldPath,package:cloud_firestore_platform_interface/src/field_path.dart,24,384,384,0,24,384,384,0,0,0,0,0
_JsonQuerySnapshot,package:cloud_firestore/cloud_firestore.dart,24,384,384,0,24,384,384,0,0,0,0,0
_JsonQuery,package:cloud_firestore/cloud_firestore.dart,24,384,384,0,24,384,384,0,0,0,0,0
NotificationFeedType,package:spendant/src/services/notification_feed_service.dart,12,384,384,0,0,0,0,0,12,384,384,0
_NewExpenseScreenState,package:spendant/src/screens/new_expense_screen.dart,3,336,336,0,2,224,224,0,1,112,112,0
FirebaseApp,package:firebase_core/firebase_core.dart,21,336,336,0,18,288,288,0,3,48,48,0
AppNotificationModel,package:spendant/src/models/app_notification_model.dart,4,320,320,0,0,0,0,0,4,320,320,0
XmlNodeType,package:xml/src/xml/enums/node_type.dart,10,320,320,0,0,0,0,0,10,320,320,0
IndexableSkipList,package:hive/src/util/indexable_skip_list.dart,6,288,288,0,0,0,0,0,6,288,288,0
ResolvedAdapter,package:hive/src/registry/type_registry_impl.dart,9,288,288,0,0,0,0,0,9,288,288,0
Keystore,package:hive/src/box/keystore.dart,6,288,288,0,0,0,0,0,6,288,288,0
BoxImpl,package:hive/src/box/box_impl.dart,6,288,288,0,0,0,0,0,6,288,288,0
_MetaChip,package:spendant/src/screens/new_expense_screen.dart,9,288,288,0,6,192,192,0,3,96,96,0
DrawCommandType,package:vector_graphics_compiler/src/vector_instructions.dart,9,288,288,0,0,0,0,0,9,288,288,0
FontWeight,package:vector_graphics_compiler/src/paint.dart,9,288,288,0,0,0,0,0,9,288,288,0
PdfPermissionsFlags,package:syncfusion_flutter_pdf/src/pdf/implementation/security/enum.dart,9,288,288,0,0,0,0,0,9,288,288,0
PdfVersion,package:syncfusion_flutter_pdf/src/pdf/implementation/pdf_document/enums.dart,9,288,288,0,0,0,0,0,9,288,288,0
_NavIconButton,package:spendant/src/widgets/spendant_bottom_nav.dart,8,256,256,0,0,0,0,0,8,256,256,0
_CurrentSection,package:vector_graphics_codec/vector_graphics_codec.dart,8,256,256,0,0,0,0,0,8,256,256,0
PdfToken,package:syncfusion_flutter_pdf/src/pdf/implementation/exporting/pdf_text_extractor/parser/content_lexer.dart,8,256,256,0,0,0,0,0,8,256,256,0
PictureInfo,package:vector_graphics/src/listener.dart,14,224,224,0,4,64,64,0,10,160,160,0
_CurrencyInfo,package:spendant/src/screens/currency_converter_screen.dart,14,224,224,0,0,0,0,0,14,224,224,0
PdfCjkFontFamily,package:syncfusion_flutter_pdf/src/pdf/implementation/graphics/fonts/enums.dart,7,224,224,0,0,0,0,0,7,224,224,0
CalendarConnectionStatus,package:spendant/src/services/calendar_availability_service.dart,7,224,224,0,0,0,0,0,7,224,224,0
AutoCategorizationFallbackReason,package:spendant/src/services/auto_categorization_service.dart,7,224,224,0,0,0,0,0,7,224,224,0
